City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,avarua,-21.2078,-159.775,22.03,68,90,3.6,CK,1698591620
83,colonia,50.9333,6.95,16.74,68,0,8.23,DE,1698591624
84,takoradi,4.8845,-1.7554,29.74,69,86,3.01,GH,1698591660
85,mount gambier,-37.8333,140.7667,9.58,92,100,2.95,AU,1698591660
86,zeya,53.75,127.2667,1.94,56,100,1.46,RU,1698591660
87,labrador city,52.9463,-66.9114,-2.05,64,75,7.2,CA,1698591660
88,axum,14.1245,38.7244,16.75,75,98,1.94,ET,1698591661
89,tongliao,43.6125,122.2653,12.3,84,28,3.43,CN,1698591625
90,porbandar,21.6422,69.6093,29.37,44,94,5.12,IN,1698591662
91,bodo,67.28,14.405,-1.24,84,40,5.66,NO,1698591663
92,rambha,19.5167,85.1,23.76,62,98,0.91,IN,1698591663
93,road town,18.4167,-64.6167,28.02,89,75,4.63,VG,1698591664
94,quelimane,-17.8786,36.8883,29.95,74,40,7.6,MZ,1698591664
95,port mathurin,-19.6833,63.4167,24.87,76,3,5.42,MU,1698591664
96,kaitong,44.8135,123.15,10.84,51,42,2.07,CN,1698591665
97,mankera,31.3866,71.4407,27.46,27,47,0.78,PK,1698591665
98,ke-macina,13.9623,-5.3572,37.86,16,58,2.21,ML,1698591666
99,itoman,26.1247,127.6694,23.01,60,1,3.6,JP,1698591666
100,port macquarie,-31.4333,152.9167,13.27,88,12,4.65,AU,1698591667
101,klyuchi,52.2667,79.1667,-1.17,95,96,3.67,RU,1698591667
102,tabatinga,-4.2525,-69.9381,28.05,83,75,3.09,BR,1698591667
103,chernomorskoye,45.5039,32.6997,17.03,71,0,1.4,UA,1698591668
104,touros,-5.1989,-35.4608,30.17,53,63,8.59,BR,1698591668
105,opuwo,-18.0607,13.84,36.17,7,21,6.64,NA,1698591668
106,iqaluit,63.7506,-68.5145,-7.15,63,75,3.09,CA,1698591668
107,kasane,-17.8167,25.15,32.05,31,0,2.57,BW,1698591669
108,rengali,21.6333,84.05,22.15,61,33,0.57,IN,1698591669
109,vozdvizhenka,43.9,131.95,4.39,67,14,2.83,RU,1698591669
110,albany,42.6001,-73.9662,7.19,92,100,2.43,US,1698591458
111,nema,57.5067,50.5011,-1.42,96,100,4.55,RU,1698591670
112,ciudad constitucion,25.0369,-111.6644,20.24,64,0,3.33,MX,1698591670
113,stanley,54.868,-1.6985,9.33,95,75,2.06,GB,1698591670
114,namibe,-15.1961,12.1522,23.76,68,62,4.19,AO,1698591671
115,la passe,45.5549,-0.8967,17.21,80,100,4.49,FR,1698591671
116,lexington,37.9887,-84.4777,18.52,90,100,2.06,US,1698591491
117,clearwater,27.9659,-82.8001,27.29,73,0,4.92,US,1698591535
118,cesky krumlov,48.8109,14.3152,16.03,72,100,1.97,CZ,1698591672
119,atafu village,-8.5421,-172.5159,28.98,72,90,6.17,TK,1698591672
120,acajutla,13.5928,-89.8275,27.5,75,97,1.46,SV,1698591643
121,kapa'a,22.0752,-159.319,21.72,84,23,2.0,US,1698591672
122,hanceville,34.0607,-86.7675,24.19,61,0,2.97,US,1698591672
123,new norfolk,-42.7826,147.0587,11.51,74,100,1.88,AU,1698591672
124,chibougamau,49.9168,-74.3659,-3.21,63,75,5.66,CA,1698591673
125,mogocha,53.7333,119.7667,-6.01,73,45,2.71,RU,1698591673
126,east london,-33.0153,27.9116,17.52,55,75,3.93,ZA,1698591617
127,invercargill,-46.4,168.35,4.45,92,94,0.45,NZ,1698591676
128,yangambi,0.8102,24.4336,28.46,64,100,0.39,CD,1698591676
129,codrington,-38.2667,141.9667,10.05,86,100,5.61,AU,1698591676
130,sooke,48.3746,-123.7276,5.87,85,11,4.63,CA,1698591676
131,garissa,-0.4536,39.6401,33.04,39,93,7.65,KE,1698591676
132,holualoa,19.6228,-155.9522,22.65,79,78,2.68,US,1698591677
133,winnemucca,40.973,-117.7357,-12.97,72,0,0.0,US,1698591608
134,stornoway,58.2093,-6.3865,9.98,82,75,9.26,GB,1698591677
135,bilibino,68.0546,166.4372,-22.89,96,27,2.03,RU,1698591677
136,uturoa,-16.7333,-151.4333,26.26,78,13,7.16,PF,1698591677
137,westport,41.1415,-73.3579,14.39,87,100,5.14,US,1698591559
138,polyarnyy,69.1989,33.4478,-7.03,90,100,1.3,RU,1698591678
139,northam,51.0333,-4.2167,13.67,77,76,10.58,GB,1698591678
140,ashland,40.8167,-82.2665,9.98,98,100,2.4,US,1698591678
141,mount pleasant,32.7941,-79.8626,25.0,82,0,2.06,US,1698591595
142,fredensborg,55.9756,12.4031,12.16,94,100,0.89,DK,1698591679
143,lebu,-37.6167,-73.65,9.68,82,100,9.2,CL,1698591679
144,talnakh,69.4865,88.3972,-20.78,96,64,1.11,RU,1698591679
145,prado,-17.3411,-39.2208,28.33,56,100,6.46,BR,1698591679
146,kodiak,57.79,-152.4072,8.73,93,100,10.8,US,1698591680
147,west island,-12.1568,96.8225,25.99,83,100,8.75,CC,1698591680
148,kerikeri,-35.2268,173.9474,14.39,95,100,1.79,NZ,1698591680
149,nova sintra,14.8667,-24.7167,23.17,67,97,5.03,CV,1698591681
150,cockburn town,21.4612,-71.1419,27.99,80,44,5.09,TC,1698591681
151,lagos,6.5833,3.75,34.18,60,64,1.39,NG,1698591445
152,carnarvon,-24.8667,113.6333,20.12,69,0,11.14,AU,1698591682
153,kisoro,-1.2854,29.685,16.52,94,100,0.61,UG,1698591682
154,caconda,-13.7333,15.0667,24.39,49,86,3.78,AO,1698591682
155,brookings,44.3114,-96.7984,-3.79,80,100,1.79,US,1698591411
156,port alfred,-33.5906,26.891,16.77,67,74,0.89,ZA,1698591683
157,wailua homesteads,22.0669,-159.378,20.97,84,25,1.73,US,1698591684
158,encarnacion de diaz,21.5167,-102.2333,19.66,56,52,2.2,MX,1698591684
159,gisborne,-38.6533,178.0042,12.92,73,100,6.98,NZ,1698591684
160,ngereklmadel,7.4883,134.4856,26.81,78,95,0.73,PW,1698591684
161,eldoret,0.5204,35.2699,19.05,72,75,1.54,KE,1698591684
162,manaquiri,-3.3167,-60.35,33.27,25,38,2.91,BR,1698591685
163,akureyri,65.6835,-18.0878,0.96,80,0,4.12,IS,1698591685
164,lengshuitan,26.4111,111.5956,20.49,74,22,0.19,CN,1698591685
165,thunder bay,48.4001,-89.3168,-4.01,86,75,1.03,CA,1698591539
166,waddan,29.1614,16.139,30.53,16,5,2.97,LY,1698591685
167,bikenibeu village,1.3673,173.1241,26.98,94,20,1.03,KI,1698591685
168,brooks,50.5834,-111.8851,-9.98,86,68,1.03,CA,1698591589
169,santa marta de tormes,40.9506,-5.6272,14.01,38,75,13.86,ES,1698591686
170,ebon,4.582,168.6964,28.62,76,24,5.91,MH,1698591686
171,okha,53.5739,142.9478,1.85,78,91,6.05,RU,1698591686
172,pyt-yakh,60.7499,72.8582,-9.08,91,11,1.77,RU,1698591686
173,hirara,24.8,125.2833,23.15,73,75,2.57,JP,1698591687
174,nyurba,63.2842,118.3319,-9.2,89,82,3.47,RU,1698591687
175,port elizabeth,-33.918,25.5701,17.16,61,75,5.66,ZA,1698591687
176,tiksi,71.6872,128.8694,-12.48,94,100,2.22,RU,1698591687
177,nemuro,43.3236,145.575,10.22,74,55,4.4,JP,1698591687
178,kirensk,57.7853,108.1119,-3.91,51,100,3.58,RU,1698591688
179,alofi,-19.0595,-169.9187,23.94,83,100,4.63,NU,1698591688
180,borovichi,58.3878,33.9155,-2.77,95,100,3.13,RU,1698591688
181,constantia,44.1833,28.65,22.38,57,0,3.4,RO,1698591688
182,idabel,33.8957,-94.8263,13.64,100,100,2.57,US,1698591688
